VARIABLES	"Variable		
Name"	Model Generated	Monetary	Default Variable	"Default		
Value"	"Automatic		
Label"																	
	amrtn	0	0	n/a	0	assets : main residence : tenure	Housing tenure	Housing tenure	main residence tenure	-	tenure status	tenure status	-	Tenure and the current residence (Doba pobytu v miste trvaleho bydliste)	housing tenure (tenencia de la vivienda)	tenure status	tenure status	tenure status	-	-			
	amrtp	0	0	n/a	0	assets : main residence : type of residence	-	-	-	-	-	-	-	-	-	type of residence	-	-	-	-			
	aobiv	0	1	n/a	0	assets : other building : imputed value	-	other buildings -imputed cadastral value	-	-	-	-	-	-	-	-	-	-	-	-			
	aoc	0	1	n/a	0	assets : other capital	-	-	-	-	other capital	-	-	-	-	-	-	-	-	-			
	bac	0	1	n/a	0	benefit : accident/disease	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	bcc00_s	1	1	n/a	1E-13	benefit : child care : main/basic : simulated	-	-	childcare allowance (lapsehooldustasu)	-	-	-	-	-	-	-	-	-	-	-			
	bccct	0	1	n/a	0	benefit : child care : contributory	-	-	-	child care fee (gyermekgondoz�si d�j)	-	-	-	-	-	-	-	-	-	-			
	bcclg_s	1	1	n/a	1E-13	benefit : child care : large family : simulated	-	-	large family parent allowance (seitsme- ja enamalapselise pere vanema toetus)	-	-	-	-	-	-	-	-	-	-	-			
	bcclt_s	1	1	n/a	1E-13	benefit : child care : long term : simulated	-	-	-	child raising support (gyermeknevel�si t�mogat�s)	-	-	-	-	-	-	-	-	-	-			
	bccnc_s	1	1	n/a	1E-13	benefit : child care : non-contributory : simulated	-	-	-	child care allowance (gyermekgondoz�si seg�ly)	-	-	-	-	-	-	-	-	-	-			
	bch	0	1	n/a	0	benefit : child	-	-	child allowances (total)	-	-	-	-	-	BEN child benefits (prestaciones por menores a cargo)	-	-	Child benefit	-	-			
	bch_s	1	1	n/a	1E-13	benefit : child : simulated	Child benefit	-	-	-	-	-	Child Benefit	-	-	-	-	Child benefit	-	-			
	bch00	0	1	n/a	0	benefit : child : main/basic	-	-	child allowance (lapsetoetus)	-	family allowance	-	-	Child Allowances (Pridavky na deti)	BEN child benefit (prestacion por menores a cargo no minusvalido)	-	-	-	-	-			
	bch00_s	1	1	n/a	1E-13	benefit : child : main/basic : simulated	-	-	child allowance (lapsetoetus)	-	basic child benefit	-	-	Child Allowances (Pridavky na deti)	BEN Child Benefit (prestacion por menores a cargo)	child allowance (i�moka vaikui)	-	-	-	-			
	bchab	0	1	n/a	0	benefit : child : abroad	-	-	child allowance abroad	-	-	-	-	-	-	-	-	-	-	-			
	bchba	0	1	n/a	0	benefit : child : birth/adoption	-	-	childbirth allowance (s�nnitoetus)	-	-	-	-	-	-	-	-	-	-	-			
	bchba_s	1	1	n/a	1E-13	benefit : child : birth/adoption : simulated	Birth allowance	-	childbirth allowance (s�nnitoetus)	-	-	birth grant	-	-	-	birth grant (vienkartin? i�moka gimus vaikui)	birth grant	-	-	-			
	bchbamtna_s	1	1	n/a	1E-13	benefit : child : birth/adoption : means-tested : national government : simulated	-	-	-	-	-	-	-	-	BEN national means tested child benefit for birth or adoption (prestaci�n estatal condicional a la renta por nacimiento o adopci�n)	-	-	-	-	-			
	bchbamtrg_s	1	1	n/a	1E-13	benefit : child : birth/adoption : means-tested : regional government : simulated	-	-	-	-	-	-	-	-	BEN regional means-tested child benefit for birth/adoption (prestaci�n regional condicional a la renta por nacimiento o adopci�n)	-	-	-	-	-			
	bchbarg_s	1	1	n/a	1E-13	benefit : child : birth/adoption : regional government : simulated	-	-	-	-	-	-	-	-	BEN regional birth/adoption benefit (prestaci�n regional por nacimiento o adopci�n)	-	-	-	-	-			
	bchbaucna_s	1	1	n/a	1E-13	benefit : child : birth/adoption : unconditional/universal : national government : simulated	-	-	-	-	-	-	-	-	BEN national universal child benefit for birth/adoption (prestaci�n estatal no condicional a la renta por nacimiento o adopci�n)	-	-	-	-	-			
	bchbaucrg_s	1	1	n/a	1E-13	benefit : child : birth/adoption : unconditional/universal : regional government : simulated	-	-	-	-	-	-	-	-	BEN regional universal child benefit for birth/adoption (prestaci�n regional no condicional a la renta por nacimiento o adopci�n)	-	-	-	-	-			
	bchdi	0	1	n/a	1E-13	benefit : child : disability	-	-	-	-	-	-	-	-	BEN disabled child benefit (prestacion por menor a cargo con incapacidad)	-	-	-	-	-			
	bchdi_s	1	1	n/a	1E-13	benefit : child : disability : simulated	-	-	-	-	-	-	-	-	BEN disabled child benefit (prestacion por menor a cargo con incapacidad)	-	-	-	-	-			
	bchdied_s	1	1	n/a	1E-13	benefit : child : disability : education : simulated	-	-	-	-	supplement for education of disabled child	-	-	-	-	-	-	-	-	-			
	bched	0	1	n/a	0	benefit : child : education	-	-	-	-	-	-	-	-	-	-	income support to families with children in compulsory education (??????? ???????)	-	-	-			
	bched_s	1	1	n/a	1E-13	benefit : child : education : simulated	-	-	school allowance (koolitoetus)	-	supplement for starting school  year	-	-	-	-	-	income support to families with children in compulsory education (??????? ???????)	-	-	-			
	bchlg	0	1	n/a	0	benefit : child : large family	-	-	-	-	-	-	-	-	-	-	third child benefit (??????? ?????? ???????)	-	-	-			
	bchlg_s	1	1	n/a	1E-13	benefit : child : large family : simulated	-	-	large family allowance (kolme- ja enamalapselise pere toetus)	-	supplement for large families	large family supplement	-	-	-	-	third child benefit (??????? ?????? ???????)	-	-	-			
	bchlgmtrg_s	1	1	n/a	1E-13	benefit : child : large family : means-tested : regional government : simulated	-	-	-	-	-	-	-	-	BEN regional means-tested large family benefit (prestaci�n regional condicional a la renta por familia numerosa)	-	-	-	-	-			
	bchlgrg_s	1	1	n/a	0.0000000000001	benefit : child : large family : regional government : simulated	-	-	-	-	-	-	-	-	BEN regional child benefit for large families (prestaci�n regional por familia numerosa)	-	-	-	-	-			
	bchlgucrg_s	1	1	n/a	0.0000000000001	benefit : child : large family : unconditional/universal : regional government : simulated	-	-	-	-	-	-	-	-	BEN regional universal large family benefit (prestaci�n regional no condicional a la renta por familia numerosa)	-	-	-	-	-			
	bchlp	0	1	n/a	0	benefit : child : lone parent	-	-	single parent child allowance (�ksikvanema lapse toetus)	-	lone parent benefit	-	-	-	-	-	-	-	-	-			
	bchlp00_s	1	1	n/a	1E-13	benefit : child : lone parent : main/basic : simulated	-	-	-	-	supplement for lone parent (main benefit)	-	-	-	-	-	-	-	-	-			
	bchmt	0	1	n/a	0	benefit : child : means-tested	-	-	-	-	-	-	-	Social Allowance (Socialni priplatek +  Zaopatrovaci prispevek till 2004)	-	-	-	-	-	-			
	bchmt_s	1	1	n/a	1E-13	benefit : child : means-tested : simulated	-	-	-	regular child protection benefit (rendszeres gyermekv�delmi t�mogat�s)	-	child benefit (means tested)	-	Social Allowance (Socialni priplatek +  Zaopatrovaci prispevek till 2004)	-	-	-	-	-	-			
	bchmtrg_s	1	1	n/a	0.0000000000001	benefit : child : means-tested : regional government : simulated	-	-	-	-	-	-	-	-	BEN regional means-tested child benefit (prestaci�n regional condicional a la renta por menor a cargo)	-	-	-	-	-			
	bchnm_s	1	1	n/a	1E-13	benefit : child : not means-tested : simulated	-	-	-	family allowance (csal�di p�tl�k tart�sd�j)	-	-	-	-	-	-	-	-	-	-			
	bchor	0	1	n/a	0	benefit : child : orphan	-	-	-	-	-	-	-	-	-	guardianship benefit (globos (r?pybos) i�moka)	-	-	-	-			
	bchot	0	1	n/a	0	benefit : child : other	-	Child benefit (Assegno per famiglia con almeno 3 figli minori)	-	-	other child benefits	-	-	-	BEN other child benefits (otras prestaciones por menor a cargo)	-	-	-	-	-			
	bchpl	0	1	n/a	0	benefit : child : parental leave	-	-	-	-	parental leave allowance	-	-	-	-	-	-	-	-	-			
	bchrg_s	1	1	n/a	1E-13	benefit : child : regional government : simulated	-	-	-	-	-	-	-	-	BEN Regional Child Benefit (Prestaciones Familiares de las CCAA)	-	-	-	-	-			
	bchucrg_s	1	1	n/a	0.0000000000001	benefit : child : unconditional/universal : regional government : simulated	-	-	-	-	-	-	-	-	BEN regional universal child benefit (prestaci�n regional no condicional por menor a cargo)	-	-	-	-	-			
	bchunlp	0	1	n/a	0	benefit : child : unemployment : lone parent	-	-	-	-	benefit for unemployed lone parents	-	-	-	-	-	-	-	-	-			
	bcrch_s	1	1	n/a	1E-13	benefit : caring : child : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	bcrchdi	0	1	n/a	0	benefit : caring : child : disability	-	-	-	-	nursing benefit	-	-	-	-	-	-	-	-	-			
	bcrchdi_s	1	1	n/a	1E-13	benefit : caring : child : disability : simulated	-	-	-	-	nursing benefit	-	-	-	-	-	-	-	-	-			
	bcrdi	0	1	n/a	0	benefit : caring : disability	-	-	-	-	-	-	-	-	-	-	-	Invalid care allowance	-	-			
	bcrsvcc	0	1	n/a	0	benefit : caring : severe disability : child care	-	-	-	-	-	compensation for lost income due to care for child with special needs	-	-	-	-	-	-	-	-			
	bdi	0	1	n/a	0	benefit : disability	-	-	-	-	-	disability supplement	-	-	-	disability benefits	non-contributory disability benefits (????????? ????????? ?????????)	-	-	-			
	bdica	0	1	n/a	0	benefit : disability : receiving care (any type)	-	-	-	-	-	Attendance supplement	-	-	-	-	-	-	-	-			
	bdicc	0	1	n/a	0	benefit : disability : child care	-	-	-	-	-	childcare supplement	-	-	-	-	-	-	-	-			
	bdict	0	1	n/a	0	benefit : disability : contributory	-	-	-	-	-	-	-	-	-	-	-	Incapacity benefit	-	-			
	bdimb	0	1	n/a	0	benefit : disability : mobility limitation	-	-	-	-	-	-	-	-	-	-	-	Disability living (mobility) allowance	-	-			
	bdioa	0	1	n/a	0	benefit : disability : old age	-	-	-	-	-	-	-	-	-	-	-	Attendance allowance	-	-			
	bdisc	0	1	n/a	0	benefit : disability : self-care	-	-	-	-	-	-	-	-	-	-	-	Disability living allowance	-	-			
	bdisv	0	1	n/a	0	benefit : disability : severe disability	-	-	-	-	-	-	-	-	-	-	-	Severe disablement allowance	-	-			
	bdiwi	0	1	n/a	0	benefit : disability : work illness	-	-	-	-	-	-	-	-	-	-	-	Industrial injuries pension	-	-			
	bed	0	1	n/a	0	benefit : education	Scholarships and grants	Scholarships and grants	scholarships and grants	education related income (oktat�ssal kapcsolatos t�mogat�s)	scholarships	scholarships	-	Education related allowances (studentske socialni davky)	BEN scholarships (becas)	education-related allowances	education allowances for students	-	-	-			
	bedes	0	1	n/a	0	benefit : education : secondary education	-	-	-	-	-	-	-	-	-	-	-	Student payments	-	-			
	bedsl	0	1	n/a	0	benefit : education : student loan	-	-	-	-	-	-	-	-	-	-	-	Student Loan	-	-			
	bfa	0	1	n/a	0	benefit : family	Family related benefits	Family allowances (Assegni famigliari)	-	family allowance	-	family allowance	-	Family benefits (soucet davek vztazenych k detem v rodine)	-	family/children related allowances	total family benefits	-	-	-			
	bfacpwc_s	1	1	n/a	1E-13	benefit : family : couple : with children : simulated	-	Family Allowance for 2 parents and children (Assegni familiari)	-	-	-	-	-	-	-	-	-	-	-	-			
	bfacpxc_s	1	1	n/a	1E-13	benefit : family : couple : no children : simulated	-	Family Allowance for couple and 0 child (Assegni famigiari)	-	-	-	-	-	-	-	-	-	-	-	-			
	bfacs	0	1	n/a	0	benefit : family : civil servant	-	-	-	-	-	-	-	-	-	-	civil servants' family benefit	-	-	-			
	bfafp	0	1	n/a	0	benefit : family : foster parent	-	-	-	-	-	-	-	Foster Care Benefits (Davky pestounske pece)	-	-	-	-	-	-			
	bfalg	0	1	n/a	0	benefit : family : large family	-	-	-	-	-	-	-	-	-	-	large family benefit (??????????? ???????)	-	-	-			
	bfalg_s	1	1	n/a	0.0000000000001	benefit : family : large family : simulated	-	-	-	-	-	-	-	-	-	-	large family benefit (??????????? ???????)	-	-	-			
	bfalp_s	1	1	n/a	1E-13	benefit : family : lone parent : simulated	-	Family Allowance for 1 parent and children (Assegni famigiari)	-	-	-	-	-	-	-	-	-	-	-	-			
	bfamt	0	1	n/a	0	benefit : family : means-tested	-	-	-	-	-	-	-	-	-	-	-	Child Tax Credit	-	-			
	bfamt_s	1	1	n/a	0.0000000000001	benefit : family : means-tested : simulated	-	-	-	-	-	-	-	-	-	-	-	Child Tax Credit	-	-			
	bfaot	0	1	n/a	0	benefit : family : other	-	-	-	-	-	-	-	Other Social Benefits (Ostatni davky SSP - porodne a pohrebne)	-	-	minor family benefits	-	-	-			
	bfapl	0	1	n/a	0	benefit : family : parental leave	-	-	-	-	-	-	-	Parental Allowances (Rodicovsky prispevek)	-	-	-	-	-	-			
	bfapl_s	1	1	n/a	1E-13	benefit : family : parental leave : simulated	-	-	-	-	-	-	-	Parental Allowances (Rodicovsky prispevek)	-	-	-	-	-	-			
	bhl	0	1	n/a	0	benefit : health	-	-	sickness benefit (haigusraha)	"sickness benefits (t�pp�nz, t�voll�ti d�j)"	-	-	-	Sickness benefits (Nemocenska)	BEN sickness benefit (prestacion por enfermedad)	sickness benefits	sickness benefits (????????? ?????????)	-	-	-			
	bhlsp_s	1	0	n/a	1E-13	benefit : health : social contribution pay back : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	Health insurance contribution compensation benefit			
	bhlwk	0	1	n/a	0	benefit : health : work related	-	-	-	-	-	-	-	-	-	-	-	Statutory sick pay	-	-			
	bho	0	1	n/a	0	benefit : housing	Housing related benefits	Housing benefits	-	housing benefit	housing benefit	housing benefit	-	Housing benefit (Prispevek na bydleni)	BEN housing benefit (prestacion por vivienda)	housing allowances	housing benefits	housing benefit	-	-			
	bho_s	1	1	n/a	1E-13	benefit : housing : simulated	-	-	-	-	-	housing benefit	-	Housing benefit (Prispevek na bydleni)	-	-	-	housing benefit	-	-			
	bhoef_s	1	1	n/a	1E-13	benefit : housing : effective : simulated	-	-	-	-	housing benefit: received	-	-	-	-	-	-	-	-	-			
	bhoen_s	1	1	n/a	1E-13	benefit : housing : entitlement : simulated	-	-	-	-	housing benefit: entitlement	-	-	-	-	-	-	-	-	-			
	bhope_s	1	1	n/a	0.0000000000001	benefit : housing : pensioner : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	bma	0	1	n/a	0	benefit : maternity	Maternity leave	Maternity payments (only self emp and lump sum - Assegno di Maternita')	maternity benefits (total)	-	maternity benefit	-	-	-	-	-	-	-	-	-			
	bmaab	0	1	n/a	0	benefit : maternity : abroad	-	-	parental benefit abroad	-	-	-	-	-	-	-	-	-	-	-			
	bmact	0	1	n/a	0	benefit : maternity : contributory	-	-	parental benefit (vanemapalk)	maternity allowance (terhess�gi-gyermek�gyi seg�ly)	-	maternity payments	-	-	-	-	maternity benefits	-	-	-			
	bmact_s	1	1	n/a	0.0000000000001	benefit : maternity : contributory : simulated	-	-	-	-	-	-	-	-	-	maternity (paternity) leave benefit (motinyst?s (t?vyst?s) pa�alpa)	-	-	-	-			
	bmaer	0	1	n/a	0	benefit : maternity : employer	-	-	-	-	-	-	-	-	-	-	-	Statutory maternity pay	-	-			
	bmals	0	1	n/a	0.0000000000001	benefit : maternity : lump-sum	-	Maternity payments (lump sum)	-	-	-	-	-	-	-	-	-	-	-	-			
	bmana	0	1	n/a	0	benefit : maternity : national government	-	-	-	-	-	-	-	-	-	-	-	Maternity Allowance	-	-			
	bmanc	0	1	n/a	0	benefit : maternity : non-contributory	-	-	-	-	-	Parental allowance	-	-	-	-	-	-	-	-			
	bmanc_s	1	1	n/a	1E-13	benefit : maternity : non-contributory : simulated	-	-	-	maternity grant (anyas�gi t�mogat�s)	-	parental allowance	-	-	-	-	-	-	-	-			
	bmapr	0	1	n/a	0	benefit : maternity : pregnancy	-	-	maternity benefit (s�nnitush�vitis)	-	-	-	-	-	-	-	-	-	-	-			
	bmaprct_s	1	1	n/a	0.0000000000001	benefit : maternity : pregnancy : contributory : simulated	-	-	-	-	-	-	-	-	-	maternity leave benefit (motinyst?s pa�alpa)	-	-	-	-			
	bmaprnc_s	1	1	n/a	0.0000000000001	benefit : maternity : pregnancy : non-contributory : simulated	-	-	-	-	-	-	-	-	-	pregnancy grant (vienkartin? i�moka n?�?iai moteriai)	-	-	-	-			
	bmase	0	1	n/a	0.0000000000001	benefit : maternity : self-employed	-	Maternity payments (only self emp)	-	-	-	-	-	-	-	-	-	-	-	-			
	bmu_s	1	1	n/a	0.0000000000001	benefit : municipal government : simulated	-	-	-	-	-	-	-	-	-	-	-	Council Tax benefit	-	-			
	boa	0	1	n/a	0	benefit : old age	-	-	-	-	-	-	-	-	-	old age benefits	-	-	-	-			
	boacs_s	1	1	n/a	0.0000000000001	benefit : old age : civil servant : simulated	-	-	-	-	-	-	-	-	-	-	lump sum benefit for retired civil servants	-	-	-			
	boact	0	1	n/a	0	benefit : old age : contributory	-	-	-	-	-	-	-	-	-	-	pensioners' social solidarity benefit (????)	-	-	-			
	boact00	0	1	n/a	0	benefit : old age : contributory : main/basic	-	-	-	-	-	-	-	-	-	-	-	State pension	-	-			
	boact_s	1	1	n/a	1E-13	benefit : old age : contributory : simulated	-	-	-	-	-	-	-	-	-	-	pensioners' social solidarity benefit (????)	-	-	-			
	boactcm	0	1	n/a	0	benefit : old age : contributory : complement	-	-	-	-	-	-	-	-	-	-	-	Occupational Pension	-	-			
	boaht_s	1	1	n/a	0.0000000000001	benefit : old age : heating : simulated	-	-	-	-	-	-	-	-	-	-	-	Winter Fuel Allowance	-	-			
	boamt	0	1	n/a	0	benefit : old age : means-tested	-	-	-	-	-	-	-	-	-	-	-	Pension Credit	-	-			
	boamt_s	1	1	n/a	0.0000000000001	benefit : old age : means-tested : simulated	-	-	-	-	-	-	-	-	-	-	-	Pension Credit	-	-			
	boamtmm_s	1	1	n/a	0.0000000000001	benefit : old age : means-tested : minimum  : simulated	-	-	-	-	-	-	-	-	-	-	-	PC: Guarantee Credit	-	-			
	boamtxp_s	1	1	n/a	0.0000000000001	benefit : old age : means-tested : extra pay : simulated	-	-	-	-	-	-	-	-	-	-	-	PC:Saving Credit	-	-			
	boanc	0	1	n/a	0	benefit : old age : non-contributory	-	-	-	-	-	-	-	-	-	-	social pension (??????? ???????????? ??????????)	-	-	-			
	boanc_s	1	1	n/a	1E-13	benefit : old age : non-contributory : simulated	-	-	-	-	-	-	-	-	-	-	social pension (??????? ???????????? ??????????)	-	-	-			
	boawr	0	1	n/a	0	benefit : old age : war	-	-	-	-	-	-	-	-	-	-	-	War pension	-	-			
	bot	0	1	n/a	0	benefit : other	-	-	-	-	other benefits	-	-	-	-	-	-	other benefits	-	-			
	botre	0	1	n/a	0	"benefit : other : regular, periodic"	-	-	-	other regular benefits	-	-	-	-	-	-	-	-	-	-			
	bplct_s	1	1	n/a	0.0000000000001	benefit : parental leave : contributory : simulated	-	-	-	-	-	-	-	-	-	paternity leave benefit (t?vyst?s pa�alpa)	-	-	-	-			
	bsa	0	1	n/a	0	benefit : social assistance	Social assistance	Social assistance	-	social assistance	social assistance	social assistance	-	"Social assistance benefits (Pravidelne davky socialni potrebnosti ""dav_sp"")"	BEN social assistance benefits (asistencia social)	social assistance benefits	-	Income Support	-	-			
	bsa_s	1	1	n/a	1E-13	benefit : social assistance : simulated	Income support	-	-	social assistance (szoci�lis seg�lyek)	-	social assistance	Social Assistance	"Social assistance benefits (Pravidelne davky socialni potrebnosti ""dav_sp"")"	-	-	-	Income support	-	-			
	bsa00	0	1	n/a	0	benefit : social assistance : main/basic	-	-	subsistence benefit (toimetulekutoetus)	-	-	-	-	-	-	social benefit (socialin? pa�alpa)	-	-	-	-			
	bsa00_s	1	1	n/a	1E-13	benefit : social assistance : main/basic : simulated	-	-	subsistence benefit (toimetulekutoetus)	"social assistance, regular benefit (rendszeres szoci�lis seg�ly)"	-	-	-	Social assistance	-	social benefit (socialin? pa�alpa)	-	-	-	-			
	bsacr	0	1	n/a	0	benefit : social assistance : caring	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	bsaho_s	1	1	n/a	1E-13	benefit : social assistance : housing : simulated	-	-	-	"social assistance, home maintenance support (lak�sfenntart�si t�mogat�s)"	-	-	-	Social assistance supplement for housing	-	-	-	-	-	-			
	bsaht_s	1	1	n/a	0.0000000000001	benefit : social assistance : heating : simulated	-	-	-	-	-	-	-	-	-	-	lump sum heating benefit	-	-	-			
	bsals	0	1	n/a	0	benefit : social assistance : lump-sum	-	-	other social assistance	-	-	-	-	-	-	municipal and NGO support (savivaldybiu ir NVO parama)	-	-	-	-			
	bsaoa_s	1	1	n/a	1E-13	benefit : social assistance : old age : simulated	Income support for the elderly	-	-	-	-	-	-	-	-	-	-	-	-	-			
	bsaot	0	1	n/a	0	benefit : social assistance : other	-	-	-	-	-	-	-	-	-	-	minor social assistance benefits	-	-	-			
	bsapm_s	1	1	n/a	1E-13	benefit : social assistance : permanent : simulated	-	-	-	-	social assistance: permanent	-	-	-	-	-	-	-	-	-			
	bsarg_s	1	1	n/a	1E-13	benefit : social assistance : regional government : simulated	-	-	-	-	-	-	-	-	BEN simulated Regional Social Assistance (Rentas M�nimas de Inserci�n de las CCAA) - (!) switched off 	-	-	-	-	-			
	bsatm_s	1	1	n/a	1E-13	benefit : social assistance : temporary : simulated	-	-	-	-	social assistance: temporary	-	-	-	-	-	-	-	-	-			
	bsatmefmu_s	1	1	n/a	1E-13	benefit : social assistance : temporary : effective : municipal government : simulated	-	-	-	-	temporary social assistance assumed to be paid by local government (amount received)	-	-	-	-	-	-	-	-	-			
	bsatmefna_s	1	1	n/a	1E-13	benefit : social assistance : temporary : effective : national government : simulated	-	-	-	-	temporary social assistance guaranteed by national government (amount received)	-	-	-	-	-	-	-	-	-			
	bsatmen_s	1	1	n/a	1E-13	benefit : social assistance : temporary : entitlement : simulated	-	-	-	-	temporary social assistance entitlement (amount that should be received)	-	-	-	-	-	-	-	-	-			
	bsatmpb	0	1	n/a	0	benefit : social assistance : temporary : probability of receiving	-	-	-	-	expected probability to receive temporary social assistance	-	-	-	-	-	-	-	-	-			
	bsu	0	1	n/a	0	benefit : survivors	-	-	-	-	-	-	-	-	-	survivors' benefits	-	-	-	-			
	bsuwd	0	1	n/a	0	benefit : survivors : widow	-	-	-	-	-	-	-	-	-	-	-	Widow's pension	-	-			
	bun	0	1	n/a	0	benefit : unemployment	Unemployment benefits	-	unemployment benefits (total)	unemployment benefits (munkan�lk�li ell�t�sok)	unemployment benefit	unemployment benefit	-	Unemployment benefit (Prispevek v nezamestnanosti)	BEN unemployment benefit (prestacion por desempleo)	unemployment benefits	total unemployment benefits	-	-	-			
	bun_s	1	1	n/a	1E-13	benefit : unemployment : simulated	Unemployment benefits	-	-	-	unemployment benefit	-	-	Unemployment benefit (Prispevek v nezamestnanosti)	-	-	-	-	-	-			
	bunct	0	1	n/a	0	benefit : unemployment : contributory	-	-	unemployment insurance benefit (t��tukindlustush�vitis)	-	-	unemployment insurance benefit	-	-	BEN unemployment insurance (prestacion por desempleo contributiva)	unemployment insurance benefit (nedarbo draudimo i�moka)	unemployment insurance benefit (??????? ????????)	JSA contributory	-	-			
	bunct02_s	1	1	n/a	0.0000000000001	benefit : unemployment : contributory : 02 : simulated	-	Unemployment benefit (Indennita' di Disoccupazione)	-	-	-	-	-	-	-	-	-	-	-	-			
	bunct_s	1	1	n/a	1E-13	benefit : unemployment : contributory : simulated	-	-	unemployment insurance benefit (t��tukindlustush�vitis)	-	-	-	-	-	BEN unemployment insurance (prestacion por desempleo contributiva)	unemployment insurance benefit (nedarbo draudimo i�moka)	unemployment insurance benefit (??????? ????????)	unemployment benefit (JSA)	-	-			
	bunct01	0	1	n/a	0	benefit : unemployment : contributory : 01	-	Unemployment benefit (Cassa Integrazione Guadagni)	-	-	-	-	-	-	-	-	-	-	-	-			
	bunct02	0	1	n/a	0	benefit : unemployment : contributory : 02	-	Unemployment benefit (Indennita' di Disoccupazione - Mobilita')	-	-	-	-	-	-	-	-	-	-	-	-			
	bunctmy	0	0	bunmy	0	benefit : unemployment : contributory : months per year	-	-	no. months receiving unemployment insurance benefit	-	-	-	-	-	no. months receiving unemployment insurance (n. de meses recibiendo prestacion por Bdesempleo)	-	no. months receiving unemployment insurance benefit	-	-	-			
	bunctmy01	0	0	n/a	0.0000000000001	benefit : unemployment : contributory : months per year : 01	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	bunctmy02	0	0	n/a	0.0000000000001	benefit : unemployment : contributory : months per year : 02	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	bunctmy_s	1	0	n/a	1E-13	benefit : unemployment : contributory : months per year : simulated	-	-	no. months receiving unemployment insurance benefit	-	-	-	-	-	no. months receiving unemployment insurance (n. de meses recibiendo prestacion por Bdesempleo)	-	-	-	-	-			
	bunmt	0	1	n/a	0	benefit : unemployment : means-tested	-	-	-	-	-	unemployment assistance benefit	-	-	-	-	-	-	-	-			
	bunmt_s	1	1	n/a	0.0000000000001	benefit : unemployment : means-tested : simulated	-	-	-	-	-	-	-	-	-	-	-	Income  based JSA	-	-			
