ACRONYMS	Type		Level	Acronym	Description	Categorical	Categories																																																																																																																																																																																																																																																								
	sys_typelong	sys_typeshort	sys_levname	sys_acro	sys_desc	sys_categ	sys_first_categ																																																																																																																																																																																																																																																								
				CL	Collar	1	1 blue	2 white	0 n/a																																																																																																																																																																																																																																																						
				CR	Carer	1	Caring for dependent person	0 no	1 disabled child	2 disabled adult	3 elderly person																																																																																																																																																																																																																																																				
				CS	Civil Servant	1	1 yes	0 no																																																																																																																																																																																																																																																							
				CW	Current Work	0																																																																																																																																																																																																																																																									
				FB	Family Business?	1	1 yes	0 no																																																																																																																																																																																																																																																							
				HW	Hours worked per week	0																																																																																																																																																																																																																																																									
				HZ	Hazardous work?	1	1 yes	0 no																																																																																																																																																																																																																																																							
				IT	Institution	1	1 Private firms	2 Bank and insurance	3 Municipals	4 Foundations	5 Households	6 Foreign countries	8 State	9 Housing companies																																																																																																																																																																																																																																																	
				PB	Public Sector	1	1 yes	0 no																																																																																																																																																																																																																																																							
				PF	Professional	1	1 yes	0 no																																																																																																																																																																																																																																																							
				SE	Self Employed	1	1 with employees	2 without employees	3 Family worker																																																																																																																																																																																																																																																						
				PW	Previous work	0																																																																																																																																																																																																																																																									
				AS	Actively Seeking	0																																																																																																																																																																																																																																																									
				BL	Business Licence	1	1: yes	2: no																																																																																																																																																																																																																																																							
				CT	Contract Type	1	1: permanent contract	2: temporary/fixed contract																																																																																																																																																																																																																																																							
				RG	Registered	1	1: yes	0: no																																																																																																																																																																																																																																																							
				FA	Farmer	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Affiliations																																																																																																																																																																																																																																																												
				PM	Pension Membership	1	1 yes	0 no																																																																																																																																																																																																																																																							
				UM	Union Membership	1	1 yes	0 no																																																																																																																																																																																																																																																							
				FC	SIC fund (contributing to)	0																																																																																																																																																																																																																																																									
				FR	SIC fund (receiving from)	0																																																																																																																																																																																																																																																									
				IM	Insurance Scheme Memb	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Add Information																																																																																																																																																																																																																																																												
				DI	Detailed Industry	1	1: Agriculture and Fishing	"2: Mining, Manifact. and Utilities"	3: Construction	4: Wholesale and retail	5: Hotels and restaurants	6: Transport and communication	7: Financial intermediation	8: Real estate and business	9: Public administ. and defence	10: Education	11: Health and social work	12: Other																																																																																																																																																																																																																																													
				CD	Cumulative Distribution	0																																																																																																																																																																																																																																																									
				OR	Owner	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Time/Period																																																																																																																																																																																																																																																												
				MY	Months per year	0																																																																																																																																																																																																																																																									
				WH	Work history (length of time in months)	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Numbers																																																																																																																																																																																																																																																												
				00	Main/Basic	0																																																																																																																																																																																																																																																									
				01	01	0																																																																																																																																																																																																																																																									
				02	02	0																																																																																																																																																																																																																																																									
				03	03	0																																																																																																																																																																																																																																																									
				04	04	0																																																																																																																																																																																																																																																									
				05	05	0																																																																																																																																																																																																																																																									
				06	06	0																																																																																																																																																																																																																																																									
				07	07	0																																																																																																																																																																																																																																																									
				08	08	0																																																																																																																																																																																																																																																									
				09	09	0																																																																																																																																																																																																																																																									
				10	10	0																																																																																																																																																																																																																																																									
				11	11	0																																																																																																																																																																																																																																																									
				12	12	0																																																																																																																																																																																																																																																									
				13	13	0																																																																																																																																																																																																																																																									
				14	14	0																																																																																																																																																																																																																																																									
				15	15	0																																																																																																																																																																																																																																																									
				16	16	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																															
	BENEFIT/PENSION	B/P																																																																																																																																																																																																																																																													
			Benefit Type																																																																																																																																																																																																																																																												
				CH	Child	0																																																																																																																																																																																																																																																									
				CR	Caring	0																																																																																																																																																																																																																																																									
				DI	Disability	0																																																																																																																																																																																																																																																									
				ED	Education	0																																																																																																																																																																																																																																																									
				FA	Family	0																																																																																																																																																																																																																																																									
				HL	Health	0																																																																																																																																																																																																																																																									
				HO	Housing	0																																																																																																																																																																																																																																																									
				MA	Maternity	0																																																																																																																																																																																																																																																									
				OA	Old Age	0																																																																																																																																																																																																																																																									
				SA	Social Assistance	0																																																																																																																																																																																																																																																									
				SU	Survivors	0																																																																																																																																																																																																																																																									
