VARIABLES	"Variable
Name"	Model Generated	Monetary	Default Variable	"Default
Value"	"Automatic
Label"																												
	bccnc_s	1	1	n/a	1E-13	benefit : child care : non-contributory : simulated	-	-	-	child care allowance (gyermekgondozási segély)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bch	0	1	n/a	0	benefit : child	-	-	child allowances (total)	-	benefit : child	-	-	Child benefits	BEN child benefits (prestaciones por menores a cargo)	-	-	Child benefit	-	-	-	-	-	-	-	-	-	child benefits (Abono de Família para Crianças e Jovens)	-	-	Child benefit	-	-	
	bch01_s	1	1	n/a	1E-13	benefit : child : 01 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	Child benefit (2nd comp)	-	-	-	-	-	-	Child benefit (2nd comp)	-	-	-	-	Child benefit:supplmentary amount	-	-	
	bch02_s	1	1	n/a	1E-13	benefit : child : 02 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	Child benefit (3rd comp)	-	-	-	-	-	-	Child benefit (3rd comp)	-	-	-	-	-	-	-	
	bch_s	1	1	n/a	1E-13	benefit : child : simulated	Child benefit	-	-	-	-	-	Child Benefit	-	-	-	-	Child benefit	-	-	-	-	-	-	-	-	-	benefit : child : simulated	-	-	Child benefit	-	-	
	bch00	0	1	n/a	0	benefit : child : main/basic	-	-	child allowance (lapsetoetus)	-	family allowance	-	-	Child Allowances (Pridavky na deti)	BEN child benefit (prestacion por menores a cargo no minusvalido)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bch00_s	1	1	n/a	1E-13	benefit : child : main/basic : simulated	-	-	child allowance (lapsetoetus)	-	basic child benefit	-	-	Child Allowances (Pridavky na deti)	BEN Child Benefit (prestacion por menores a cargo)	child allowance (išmoka vaikui)	-	-	Child benefit (1st comp)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchab	0	1	n/a	0	benefit : child : abroad	-	-	child allowance abroad	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchba	0	1	n/a	0	benefit : child : birth/adoption	-	-	childbirth allowance (sünnitoetus)	-	supplement for child birth	birth grant (pomo? ob rojstvu otroka)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	birth grant	-	-	
	bchba_s	1	1	n/a	1E-13	benefit : child : birth/adoption : simulated	Birth allowance	-	childbirth allowance (sünnitoetus)	-	supplement for child birth	birth grant (pomo? ob rojstvu otroka)	-	-	-	birth grant (vienkartin? išmoka gimus vaikui)	birth grant	-	-	-	-	-	-	-	-	-	-	-	-	-	Birth Grant	-	-	
	bchbamtna_s	1	1	n/a	1E-13	benefit : child : birth/adoption : means-tested : national government : simulated	-	-	-	-	-	-	-	-	BEN national means tested child benefit for birth or adoption (prestación estatal condicional a la renta por nacimiento o adopción)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchbamtrg_s	1	1	n/a	1E-13	benefit : child : birth/adoption : means-tested : regional government : simulated	-	-	-	-	-	-	-	-	BEN regional means-tested child benefit for birth/adoption (prestación regional condicional a la renta por nacimiento o adopción)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchbarg_s	1	1	n/a	1E-13	benefit : child : birth/adoption : regional government : simulated	-	-	-	-	-	-	-	-	BEN regional birth/adoption benefit (prestación regional por nacimiento o adopción)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchbaucna_s	1	1	n/a	1E-13	benefit : child : birth/adoption : unconditional/universal : national government : simulated	-	-	-	-	-	-	-	-	BEN national universal child benefit for birth/adoption (prestación estatal no condicional a la renta por nacimiento o adopción)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchbaucrg_s	1	1	n/a	1E-13	benefit : child : birth/adoption : unconditional/universal : regional government : simulated	-	-	-	-	-	-	-	-	BEN regional universal child benefit for birth/adoption (prestación regional no condicional a la renta por nacimiento o adopción)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchdi	0	1	n/a	1E-13	benefit : child : disability	-	-	-	-	-	-	-	-	BEN disabled child benefit (prestacion por menor a cargo con incapacidad)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchdi_s	1	1	n/a	1E-13	benefit : child : disability : simulated	-	-	-	-	-	-	-	-	BEN disabled child benefit (prestacion por menor a cargo con incapacidad)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchdied	0	1	n/a	1E-13	benefit : child : disability : education	-	-	-	-	supplement for education of disabled child	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchdied_s	1	1	n/a	1E-13	benefit : child : disability : education : simulated	-	-	-	-	supplement for education of disabled child	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bched	0	1	n/a	0	benefit : child : education	-	-	-	-	benefit : child : education	-	-	-	-	-	income support to families with children in compulsory education (??????? ???????)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bched_s	1	1	n/a	1E-13	benefit : child : education : simulated	-	-	school allowance (koolitoetus)	-	supplement for starting school  year	-	-	-	-	-	income support to families with children in compulsory education (??????? ???????)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchlg	0	1	n/a	0	benefit : child : large family	-	-	-	-	supplement for large families	large-family supplement  (dodatek za veliko družino)	-	-	-	-	third child benefit (??????? ?????? ???????)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchlg_s	1	1	n/a	1E-13	benefit : child : large family : simulated	-	-	large family allowance (kolme- ja enamalapselise pere toetus)	-	supplement for large families	large-family supplement  (dodatek za veliko družino)	-	-	-	-	third child benefit (??????? ?????? ???????)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchlgmtrg_s	1	1	n/a	1E-13	benefit : child : large family : means-tested : regional government : simulated	-	-	-	-	-	-	-	-	BEN regional means-tested large family benefit (prestación regional condicional a la renta por familia numerosa)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchlgrg_s	1	1	n/a	0.0000000000001	benefit : child : large family : regional government : simulated	-	-	-	-	-	-	-	-	BEN regional child benefit for large families (prestación regional por familia numerosa)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchlgucrg_s	1	1	n/a	0.0000000000001	benefit : child : large family : unconditional/universal : regional government : simulated	-	-	-	-	-	-	-	-	BEN regional universal large family benefit (prestación regional no condicional a la renta por familia numerosa)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchlp	0	1	n/a	0	benefit : child : lone parent	-	-	single parent child allowance (üksikvanema lapse toetus)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchlp00	0	1	n/a	1E-13	benefit : child : lone parent : main/basic	-	-	-	-	supplement for lone parent (main benefit)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchlp00_s	1	1	n/a	1E-13	benefit : child : lone parent : main/basic : simulated	-	-	-	-	supplement for lone parent (main benefit)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchmt	0	1	n/a	0	benefit : child : means-tested	-	-	-	-	-	child benefit (otroški dodatek)	-	Social Allowance (Socialni priplatek +  Zaopatrovaci prispevek till 2004)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchmt_s	1	1	n/a	1E-13	benefit : child : means-tested : simulated	-	-	-	regular child protection benefit (rendszeres gyermekvédelmi támogatás)	-	child benefit (otroški dodatek)	-	Social Allowance (Socialni priplatek +  Zaopatrovaci prispevek till 2004)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchmtrg_s	1	1	n/a	0.0000000000001	benefit : child : means-tested : regional government : simulated	-	-	-	-	-	-	-	-	BEN regional means-tested child benefit (prestación regional condicional a la renta por menor a cargo)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchnm01_s	1	1	n/a	1E-13	benefit : child : not means-tested : 01 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Non means-tested child benefit for mothers in tertiary education	
	bchnm02_s	1	1	n/a	1E-13	benefit : child : not means-tested : 02 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Non means-tested child benefit for twins	
	bchnm_s	1	1	n/a	1E-13	benefit : child : not means-tested : simulated	-	-	-	family allowance (családi pótlék tartásdíj)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchor	0	1	n/a	0	benefit : child : orphan	-	-	-	-	-	-	-	-	-	guardianship benefit (globos (r?pybos) išmoka)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchot	0	1	n/a	0	benefit : child : other	-	Child benefit (Assegno per famiglia con almeno 3 figli minori)	-	-	other child benefits	-	-	-	BEN other child benefits (otras prestaciones por menor a cargo)	-	-	-	Child benefit (2nd and 3rd comp)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchpl	0	1	n/a	0	benefit : child : parental leave	-	-	-	-	parental leave allowance	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchrg_s	1	1	n/a	1E-13	benefit : child : regional government : simulated	-	-	-	-	-	-	-	-	BEN Regional Child Benefit (Prestaciones Familiares de las CCAA)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchuc	0	1	n/a	1E-13	benefit : child : unconditional/universal	-	-	-	-	Universal child benefit (zasilek z tytulu urodzenia dziecka)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchuc_s	1	1	n/a	1E-13	benefit : child : unconditional/universal : simulated	-	-	-	-	Universal child benefit (zasilek z tytulu urodzenia dziecka)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchucrg_s	1	1	n/a	0.0000000000001	benefit : child : unconditional/universal : regional government : simulated	-	-	-	-	-	-	-	-	BEN regional universal child benefit (prestación regional no condicional por menor a cargo)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bchunlp	0	1	n/a	0	benefit : child : unemployment : lone parent	-	-	-	-	benefit for unemployed lone parents	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bcrbafh	0	1	n/a	0	benefit : caring : birth/adoption : father	-	-	-	-	-	paternal payment (nadomestilo za o?etovski dopust)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bcrch_s	1	1	n/a	1E-13	benefit : caring : child : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bcrchdi	0	1	n/a	0	benefit : caring : child : disability	-	-	-	-	nursing benefit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bcrchdi_s	1	1	n/a	1E-13	benefit : caring : child : disability : simulated	-	-	-	-	nursing benefit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bcrdi	0	1	n/a	0	benefit : caring : disability	-	-	-	-	-	-	-	-	-	-	-	Invalid care allowance	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bcrsvcc	0	1	n/a	0	benefit : caring : severe disability : child care	-	-	-	-	-	compensation for lost income due to care for child with special needs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bdi	0	1	n/a	0	benefit : disability	-	-	-	-	-	disability supplement	-	-	-	disability benefits	non-contributory disability benefits (????????? ????????? ?????????)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bdica	0	1	n/a	0	benefit : disability : receiving care (any type)	-	-	-	-	-	Attendance supplement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bdicc	0	1	n/a	0	benefit : disability : child care	-	-	-	-	-	childcare supplement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bdict	0	1	n/a	0	benefit : disability : contributory	-	-	-	-	-	-	-	-	-	-	-	Incapacity benefit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bdict_s	1	1	n/a	1E-13	benefit : disability : contributory : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	illness benefit	-	-	-	-	-	-	-	-	-	-	-	-	
	bdimb	0	1	n/a	0	benefit : disability : mobility limitation	-	-	-	-	-	-	-	-	-	-	-	Disability living (mobility) allowance	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bdinc	0	1	n/a	0	benefit : disability : non-contributory	-	-	-	-	-	-	-	-	-	-	-	-	-	-	disability allowance	-	-	-	-	-	-	-	-	-	-	-	-	
	bdinc_s	1	1	n/a	1E-13	benefit : disability : non-contributory : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	disability allowance	-	-	-	-	-	-	-	-	-	-	-	-	
	bdioa	0	1	n/a	0	benefit : disability : old age	-	-	-	-	-	-	-	-	-	-	-	Attendance allowance	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bdiot	0	1	n/a	1E-13	benefit : disability : other	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Disability benefits: residual	-	
	bdirw	0	1	n/a	0	benefit : disability : return to work	-	-	-	-	-	wage compensation for disabled workers (denarna nadomestila delovnim invalidom)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bdisc	0	1	n/a	0	benefit : disability : self-care	-	-	-	-	-	-	-	-	-	-	-	Disability living allowance	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bdisv	0	1	n/a	0	benefit : disability : severe disability	-	-	-	-	-	-	-	-	-	-	-	Severe disablement allowance	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bdiwi	0	1	n/a	0	benefit : disability : work illness	-	-	-	-	-	-	-	-	-	-	-	Industrial injuries pension	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bed	0	1	n/a	0	benefit : education	Scholarships and grants	Scholarships and grants	scholarships and grants	education related income (oktatással kapcsolatos támogatás)	scholarships	scholarships (štipendija)	-	Education related allowances (studentske socialni davky)	BEN scholarships (becas)	education-related allowances	education allowances for students	-	-	-	-	-	-	-	-	-	-	scholarships (prestações sociais monetárias relacionadas com a educação)	-	Scholarships and grants	Scholarships and grants	-	-	
	bedes	0	1	n/a	0	benefit : education : secondary education	-	-	-	-	-	-	-	-	-	-	-	Student payments	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bedet	0	1	n/a	1E-13	benefit : education : tertiary education	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	student grant	-	-	
	bedet_s	1	1	n/a	1E-13	benefit : education : tertiary education : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Student Grant	-	-	
	bedsl	0	1	n/a	0	benefit : education : student loan	-	-	-	-	-	-	-	-	-	-	-	Student Loan	-	-	-	-	-	-	-	-	-	-	-	-	Education related scholaship	-	-	
	bfa	0	1	n/a	0	benefit : family	Family related benefits	Family allowances (Assegni famigliari)	-	family allowance	zasi?ek rodzinny	family benfits (družinski transferji)	-	Family benefits (soucet davek vztazenych k detem v rodine)		family/children related allowances	total family benefits	-	-	-	-	-	-	-	-	-	-	benefit : family	-	Family related benefits	Family related benefits	-	-	
	bfa_s	1	1	n/a	1E-13	benefit : family : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bfaam	0	1	n/a	1E-13	benefit : family : unpaid alimony	-	-	-	-	zaliczka alimentacyjna	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bfaba_s	1	1	n/a	1E-13	benefit : family : birth/adoption : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Child birth benefit	-	-	-	
	bfacc	0	1	n/a	1E-13	benefit : family : child care	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Child care benefit (B?rna kopšanas pabalsts)	-	-	-	
	bfacc_s	1	1	n/a	1E-13	benefit : family : child care : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Child care benefit	-	-	-	
	bfacpwc_s	1	1	n/a	1E-13	benefit : family : couple : with children : simulated	-	Family Allowance for 2 parents and children (Assegni familiari)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bfacpxc_s	1	1	n/a	1E-13	benefit : family : couple : no children : simulated	-	Family Allowance for couple and 0 child (Assegni famigiari)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bfacs	0	1	n/a	0	benefit : family : civil servant	-	-	-	-	-	-	-	-	-	-	civil servants' family benefit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bfafp	0	1	n/a	0	benefit : family : foster parent	-	-	-	-	-	-	-	Foster Care Benefits (Davky pestounske pece)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bfalg	0	1	n/a	0	benefit : family : large family	-	-	-	-	-	-	-	-	-	-	large family benefit (??????????? ???????)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bfalg_s	1	1	n/a	0.0000000000001	benefit : family : large family : simulated	-	-	-	-	-	-	-	-	-	-	large family benefit (??????????? ???????)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bfalp	0	1	n/a	0	benefit : family : lone parent	-	-	-	-	-	-	-	-	-	-	-	-	-	-	one parent family payment	-	-	-	-	-	-	-	-	-	-	-	-	
	bfalp_s	1	1	n/a	1E-13	benefit : family : lone parent : simulated	-	Family Allowance for 1 parent and children (Assegni famigiari)	-	-	-	-	-	-	-	-	-	-	-	-	one parent family payment	-	-	-	-	-	-	-	-	-	-	-	-	
	bfama_s	1	1	n/a	1E-13	benefit : family : maternity : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Family Benefit	-	-	-	
	bfamapr_s	1	1	n/a	1E-13	benefit : family : maternity : pregnancy : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Maternity benefefit: pregnancy component	-	-	-	
	bfamh	0	1	n/a	1E-13	benefit : family : mother	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Maternity Allowance (plus other family benefits)	-	-	
	bfamt	0	1	n/a	0	benefit : family : means-tested	-	-	-	-	-	-	-	-	-	-	-	Child Tax Credit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bfamt_s	1	1	n/a	0.0000000000001	benefit : family : means-tested : simulated	-	-	-	-	-	-	-	-	-	-	-	Child Tax Credit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bfamttm_s	1	1	n/a	1E-13	benefit : family : means-tested : temporary : simulated	-	-	-	-	-	-	-	-	-	-	-	CTC temp before IS take up	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bfana_s	1	1	n/a	1E-13	benefit : family : national government : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	State family benefit	-	-	-	
	bfaot	0	1	n/a	0	benefit : family : other	-	-	-	-	pozosta?e ?wiadczenia rodzinne	-	-	Other Social Benefits (Ostatni davky SSP - porodne a pohrebne)	-	-	minor family benefits	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Family benefits: residual	-	
	bfapl	0	1	n/a	0	benefit : family : parental leave	Parental leave	-	-	-	-	-	-	Parental Allowances (Rodicovsky prispevek)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Paternity leave (Paternit?tes pabalsts)	-	-	-	
	bfapl_s	1	1	n/a	1E-13	benefit : family : parental leave : simulated	-	-	-	-	-	-	-	Parental Allowances (Rodicovsky prispevek)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	paternity leave benefit	-	-	-	
	bfawk	0	1	n/a	1E-13	benefit : family : work related	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Parental benefit	-	-	-	
	bfawk_s	1	1	n/a	1E-13	benefit : family : work related : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	parental benefit	-	-	-	
